Year,Raw Mined Bitumen,Raw In Situ Bitumen
2008,719937,583326
2009,824898,663793
2010,856461,763190
2011,893004,858830
2012,"929,328","1,008,960"
2013,"975,907","1,117,141"
2014,"1,037,926","1,271,500"
2015,"1,161,092","1,368,122"
2016,"1,146,968","1,392,883"
2017,"1,275,562","1,549,601"
2018,"1,470,799","1,583,125"
2019,"1,550,354","1,556,173"
2020,"1,483,874","1,503,802"
2021,"1,590,460","1,680,267"
2022,"1,617,606","1,715,334"
2023,"1,647,520","1,776,168"
2024,"1,714,255","1,847,747"
2025,"1,766,695","1,936,233"
