Year,Conventional Oil,Condensate & Pentanes+,Bitumen,Upgraded Bitumen,Natural Gas,NGLs
1950,78433,1224,0,0,27309,479
1951,130165,1629,0,0,30405,913
1952,167017,1806,0,0,33338,1309
1953,221203,1966,0,0,38330,1730
1954,262780,1991,0,0,45850,2121
1955,353965,2879,0,0,56547,3530
1956,469060,3143,0,0,61928,4157
1957,495997,4781,0,0,76757,5093
1958,450974,5863,0,0,128247,5105
1959,502767,9579,0,0,165864,9212
1960,517788,14145,0,0,205669,11526
1961,604259,23137,0,0,257775,14133
1962,668670,47100,0,0,353560,17495
1963,706701,60358,0,0,386136,20419
1964,749509,69890,0,0,430819,32810
1965,799231,76494,0,0,474725,46612
1966,875250,80528,0,0,510802,56352
1967,959876,84113,0,1239,569083,64100
1968,1020221,90990,0,14146,646391,71993
1969,1115958,105516,0,27626,760619,79407
1970,1238682,120945,0,32809,870180,96300
1971,1310120,128522,0,42237,957310,110155
1972,1480443,166619,0,50924,1078345,137740
1973,1741976,170002,1220,50081,1155459,153458
1974,1634529,161883,1258,45735,1143433,154498
1975,1380767,152006,3428,43187,1159478,161684
1976,1254659,134029,7561,48295,1173400,158373
1977,1263774,132732,8372,45389,1221114,164526
1978,1248967,119183,7806,56214,1186155,172253
1979,1393071,118460,10014,91130,1264355,223116
1980,1294577,107137,9555,128052,1164956,229277
1981,1158097,102294,12976,108188,1149867,228378
1982,1127026,100330,22078,103395,1178489,221703
1983,1170509,93303,25072,148872,1119009,223617
1984,1268813,97451,33394,133738,1218748,251311
1985,1251013,102872,52213,164899,1345634,247666
1986,1193746,103660,93230,184869,1215458,234008
1987,1236723,110262,115994,180460,1320788,271672
1988,1280716,114840,129687,200097,1530509,282162
1989,1222738,118957,128800,205085,1635175,287644
1990,1206132,115969,135380,208363,1649275,301709
1991,1195781,122157,122580,226113,1788090,315191
1992,1236030,134970,126523,236787,1962982,331780
1993,1296868,149517,132436,243379,2183772,364269
1994,1350281,165275,134587,261765,2358161,384041
1995,1378349,174007,148564,279119,2460607,428272
1996,1400154,186227,163351,280421,2571691,440868
1997,1413402,215905,237919,289478,2611771,421173
1998,1425081,219922,282000,307971,2677589,426935
1999,1344304,216889,244209,323407,2760326,461695
2000,1390022,207423,288396,319796,2855803,485865
2001,1377091,188485,309399,348774,2904586,454435
2002,1446531,182932,302612,441143,2901685,476345
2003,1464408,169192,349161,454367,2815382,450457
2004,1408625,188240,373030,643981,2842464,494149
2005,1363048,185685,419465,546088,2861038,490352
2006,1342957,192623,460067,655739,2865835,502524
2007,1388196,195122,499116,686782,2828008,488991
2008,1346811,186571,547437,654867,2719419,457892
2009,1215671,172777,588124,760521,2533636,442968
2010,1225266,169416,696643,797372,2455032,394853
2011,1259068,166344,786101,850750,2420081,406332
2012,1306910,167519,912717,915211,2370147,404473
2013,1374958,181893,1028957,935419,2383868,429519
2014,1394442,218740,1028957,935419,2484525,431496
2015,1255729,255703,1405941,975055,2535020,447295
2016,1174526,302938,1489068,931641,2568060,499562
2017,1196078,359786,1647808,1026480,2607493,535706
2018,1276149,419094,1855427,1056337,2693441,563583
2019,1307617,431552,1837212,1110622,2617779,592366
2020,1200811,429909,1718201,1116509,2571196,578131
2021,1193013,444443,1920250,1180746,2685442,595301
2022,1234660,462875,1994639,1168149,2884055,629418
2023,1228653,472934,2006274,1222086,2988331,637828
2024,1250350,520554,2087076,1250350,3058313,676528
2025,1279093,564290,2190695,1279093,3136115,735424
2026,1361255,580118,2187728,1361255,3345256,759354
