Year,NGLs (B/d),Natural Gas (BOE/d),Upgraded Bitumen (B/d),Bitumen (B/d),Condensate & Pentanes+ (B/d),Conventional Oil (B/d)
1950,479,27309,0,0,1224,78433
1951,913,30405,0,0,1629,130165
1952,1309,33338,0,0,1806,167017
1953,1730,38330,0,0,1966,221203
1954,2121,45850,0,0,1991,262780
1955,3530,56547,0,0,2879,353965
1956,4157,61928,0,0,3143,469060
1957,5093,76757,0,0,4781,495997
1958,5105,128247,0,0,5863,450974
1959,9212,165864,0,0,9579,502767
1960,11526,205669,0,0,14145,517788
1961,14133,257775,0,0,23137,604259
1962,17495,353560,0,0,47100,668670
1963,20419,386136,0,0,60358,706701
1964,32810,430819,0,0,69890,749509
1965,46612,474725,0,0,76494,799231
1966,56352,510802,0,0,80528,875250
1967,64100,569083,1239,0,84113,959876
1968,71993,646391,14146,0,90990,1020221
1969,79407,760619,27626,0,105516,1115958
1970,96300,870180,32809,0,120945,1238682
1971,110155,957310,42237,0,128522,1310120
1972,137740,1078345,50924,0,166619,1480443
1973,153458,1155459,50081,1220,170002,1741976
1974,154498,1143433,45735,1258,161883,1634529
1975,161684,1159478,43187,3428,152006,1380767
1976,158373,1173400,48295,7561,134029,1254659
1977,164526,1221114,45389,8372,132732,1263774
1978,172253,1186155,56214,7806,119183,1248967
1979,223116,1264355,91130,10014,118460,1393071
1980,229277,1164956,128052,9555,107137,1294577
1981,228378,1149867,108188,12976,102294,1158097
1982,221703,1178489,103395,22078,100330,1127026
1983,223617,1119009,148872,25072,93303,1170509
1984,251311,1218748,133738,33394,97451,1268813
1985,247666,1345634,164899,52213,102872,1251013
1986,234008,1215458,184869,93230,103660,1193746
1987,271672,1320788,180460,115994,110262,1236723
1988,282162,1530509,200097,129687,114840,1280716
1989,287644,1635175,205085,128800,118957,1222738
1990,301709,1649275,208363,135380,115969,1206132
1991,315191,1788090,226113,122580,122157,1195781
1992,331780,1962982,236787,126523,134970,1236030
1993,364269,2183772,243379,132436,149517,1296868
1994,384041,2358161,261765,134587,165275,1350281
1995,428272,2460607,279119,148564,174007,1378349
1996,440868,2571691,280421,163351,186227,1400154
1997,421173,2611771,289478,237919,215905,1413402
1998,426935,2677589,307971,282000,219922,1425081
1999,461695,2760326,323407,244209,216889,1344304
2000,485865,2855803,319796,288397,207423,1390022
2001,454435,2904586,348774,309399,188485,1377091
2002,476345,2901685,441143,302612,182932,1446531
2003,450457,2815382,454367,349161,169192,1464408
2004,494149,2842464,643981,373030,188240,1408625
2005,490352,2861038,546088,419465,185685,1363048
2006,502524,2865835,655739,460067,192623,1342957
2007,488991,2828008,686782,499116,195122,1388196
2008,457892,2719419,654867,547437,186571,1346811
2009,442968,2533636,760521,588124,172777,1215671
2010,394853,2455032,797372,696643,169416,1225266
2011,406332,2420081,850750,786101,166344,1259068
2012,404473,2370147,915211,912717,167519,1306910
2013,429519,2383868,935419,1028957,181893,1374958
2014,431496,2484525,935419,1028957,218740,1394442
2015,447295,2535020,975055,1405941,255703,1255729
2016,499562,2568060,931641,1489068,302938,1174526
2017,535706,2607493,1026480,1647808,359786,1196078
2018,563583,2693441,1056337,1855427,419178,1275442
2019,592366,2617779,1110622,1837212,431670,1306931
2020,578131,2571196,1116246,1718206,429487,1202449
2021,595301,2685442,1180578,1920250,442591,1194939
2022,629418,2884055,1167911,1994601,462898,1234544
2023,637828,2988331,1222086,2006274,472934,1228702
2024,676528,3058313,1271364,2087076,520554,1250350
2025,735424,3136115,1310081,2190695,564290,1279093
2026,759354,3345256,1316193,2187728,580118,1361255
