Date,British Columbia,Alberta
Jan-00,8993,152703
Feb-00,10040,156096
Mar-00,9756,153090
Apr-00,10791,147236
May-00,11424,144221
Jun-00,11249,141483
Jul-00,11234,144626
Aug-00,10786,144778
Sep-00,11182,131747
Oct-00,11252,140192
Nov-00,11448,144489
Dec-00,10926,132567
Jan-01,11817,147932
Feb-01,11804,147271
Mar-01,11621,139978
Apr-01,11642,130471
May-01,12527,151544
Jun-01,11091,139613
Jul-01,10867,114921
Aug-01,10776,119709
Sep-01,10596,121058
Oct-01,11052,138781
Nov-01,10748,128270
Dec-01,10418,115915
Jan-02,10186,129245
Feb-02,10536,149450
Mar-02,10481,134338
Apr-02,10822,132128
May-02,10598,127561
Jun-02,10532,116466
Jul-02,9656,122976
Aug-02,9004,117457
Sep-02,10179,136006
Oct-02,10884,123361
Nov-02,10939,119632
Dec-02,10656,135454
Jan-03,10780,128673
Feb-03,11072,128063
Mar-03,11004,137558
Apr-03,11431,136385
May-03,10393,130552
Jun-03,10808,128362
Jul-03,10786,135478
Aug-03,10683,132689
Sep-03,11101,115539
Oct-03,10733,138014
Nov-03,11592,135303
Dec-03,11128,137898
Jan-04,11596,135075
Feb-04,12254,142466
Mar-04,11868,139845
Apr-04,11944,130727
May-04,11819,124895
Jun-04,11801,128431
Jul-04,10907,131732
Aug-04,11300,128154
Sep-04,11181,132335
Oct-04,11290,133145
Nov-04,11923,136818
Dec-04,11080,136546
Jan-05,7809,133494
Feb-05,8315,135057
Mar-05,7376,138169
Apr-05,9817,137350
May-05,9942,129842
Jun-05,8635,130608
Jul-05,9167,129483
Aug-05,9793,133148
Sep-05,9742,137706
Oct-05,9944,134759
Nov-05,9296,131797
Dec-05,9397,137633
Jan-06,9042,139677
Feb-06,9053,144064
Mar-06,9118,140342
Apr-06,9345,142005
May-06,9280,137187
Jun-06,9178,132520
Jul-06,8856,137370
Aug-06,9865,133841
Sep-06,9059,137555
Oct-06,9015,143383
Nov-06,8662,138994
Dec-06,8612,143694
Jan-07,8657,142202
Feb-07,9075,142961
Mar-07,9006,145294
Apr-07,9112,143405
May-07,8094,142388
Jun-07,8785,136920
Jul-07,8484,139918
Aug-07,7961,137119
Sep-07,6865,131392
Oct-07,7004,140666
Nov-07,7068,145467
Dec-07,7210,142420
Jan-08,6969,139608
Feb-08,6535,139489
Mar-08,6768,140005
Apr-08,7598,134331
May-08,8026,135709
Jun-08,6743,130274
Jul-08,7617,135960
