Date,Alberta
Jan/18,10813.38392
Feb/18,10760.32401
Mar/18,10828.87682
Apr/18,10674.99061
May/18,10255.68211
Jun/18,10170.15026
Jul/18,10323.59398
Aug/18,10489.93328
Sep/18,10337.44776
Oct/18,10409.28157
Nov/18,10580.65457
Dec/18,10809.08977
Jan/19,10541.59709
Feb/19,10065.85034
Mar/19,10507.83567
Apr/19,10449.29589
May/19,10176.42669
Jun/19,9828.093959
Jul/19,9941.415679
Aug/19,9903.673948
Sep/19,9698.248046
Oct/19,10016.31326
Nov/19,10266.60777
Dec/19,10400.34558
Jan/20,9900.617746
Feb/20,10178.52777
Mar/20,10001.38175
Apr/20,9759.235473
May/20,9545.042917
Jun/20,9458.387425
Jul/20,9393.434062
Aug/20,9418.105025
Sep/20,9292.479553
Oct/20,9710.843839
Nov/20,9884.443389
Dec/20,9943.673883
Jan/21,9888.472678
Feb/21,9583.410678
Mar/21,10095.54805
Apr/21,10149.93895
May/21,9968.040457
Jun/21,9867.475853
Jul/21,10077.72575
Aug/21,10214.12434
Sep/21,10022.59614
Oct/21,10249.56036
Nov/21,10430.51177
Dec/21,10125.12309
Jan/22,10223.54926
Feb/22,10484.35716
Mar/22,10703.75559
Apr/22,10963.30677
May/22,10665.43925
Jun/22,10532.82823
Jul/22,10917.33058
Aug/22,10783.12435
Sep/22,10869.437
Oct/22,10934.11155
Nov/22,10988.48733
Dec/22,10715.95146
Jan/23,11073.34024
Feb/23,11120.7745
Mar/23,11064.7378
Apr/23,11091.8341
May/23,9696.999465
Jun/23,10341.94742
Jul/23,11080.98477
Aug/23,11154.2109
Sep/23,10855.08215
Oct/23,10899.45838
Nov/23,11361.64393
Dec/23,11407.13147
Jan/24,10774.75329
Feb/24,11151.75281
Mar/24,11109.09658
Apr/24,11104.48399
May/24,10826.8566
Jun/24,10817.88719
Jul/24,10793.72002
Aug/24,10901.63092
Sep/24,10314.226
Oct/24,10998.27882
Nov/24,11264.01591
Dec/24,11471.99499
Jan/25,11495.03453
Feb/25,11196.43281
Mar/25,11581.62925
Apr/25,11519.48127
May/25,11244.96783
Jun/25,10870.29585
Jul/25,11156.17198
Aug/25,11079.97095
Sep/25,11087.78814
Oct/25,11367.06135
Nov/25,11793.11334
Dec/25,11714.12556
Jan/26,11969.32348
Feb/26,11931.39856
Mar/26,11883.23752
Apr/26,11847.72093
