Date,Saskatchewan (MMcf/d)
Jan/18,392
Feb/18,375
Mar/18,388
Apr/18,399
May/18,407
Jun/18,389
Jul/18,398
Aug/18,402
Sep/18,394
Oct/18,407
Nov/18,404
Dec/18,398
Jan/19,393
Feb/19,366
Mar/19,381
Apr/19,403
May/19,399
Jun/19,399
Jul/19,395
Aug/19,394
Sep/19,384
Oct/19,392
Nov/19,398
Dec/19,390
Jan/20,377
Feb/20,389
Mar/20,390
Apr/20,369
May/20,336
Jun/20,338
Jul/20,339
Aug/20,341
Sep/20,342
Oct/20,342
Nov/20,338
Dec/20,341
Jan/21,318
Feb/21,298
Mar/21,321
Apr/21,332
May/21,325
Jun/21,309
Jul/21,317
Aug/21,315
Sep/21,321
Oct/21,324
Nov/21,322
Dec/21,309
Jan/22,300
Feb/22,301
Mar/22,312
Apr/22,306
May/22,312
Jun/22,307
Jul/22,305
Aug/22,305
Sep/22,311
Oct/22,320
Nov/22,315
Dec/22,297
Jan/23,301
Feb/23,310
Mar/23,303
Apr/23,319
May/23,312
Jun/23,305
Jul/23,314
Aug/23,308
Sep/23,308
Oct/23,312
Nov/23,313
Dec/23,313
Jan/24,292
Feb/24,312
Mar/24,305
Apr/24,314
May/24,309
Jun/24,294
Jul/24,282
Aug/24,278
Sep/24,274
Oct/24,291
Nov/24,296
Dec/24,293
Jan/25,281
Feb/25,272
Mar/25,295
Apr/25,289
May/25,275
Jun/25,283
Jul/25,276
Aug/25,277
Sep/25,274
Oct/25,274
Nov/25,282
Dec/25,273
Jan/26,272
Feb/26,277
Mar/26,274
Apr/26,269
