Date,Rest of Canada (MMcf/d)
Jan/18,22.13832976
Feb/18,20.91614007
Mar/18,18.46548704
Apr/18,18.39425007
May/18,9.931632824
Jun/18,9.529554079
Jul/18,9.055144754
Aug/18,9.380723504
Sep/18,9.381232339
Oct/18,10.0479435
Nov/18,18.66323037
Dec/18,26.02431378
Jan/19,27.23606366
Feb/19,25.20914635
Mar/19,25.03971716
Apr/19,24.11676178
May/19,15.81699846
Jun/19,15.56342372
Jul/19,15.10819825
Aug/19,14.97890088
Sep/19,15.11304358
Oct/19,15.42534704
Nov/19,20.51748755
Dec/19,21.79315704
Jan/20,26.63263796
Feb/20,23.09715332
Mar/20,21.91846727
Apr/20,20.76963451
May/20,10.68212716
Jun/20,11.53837193
Jul/20,14.28354305
Aug/20,7.471793091
Sep/20,7.314969242
Oct/20,12.54480671
Nov/20,20.10889647
Dec/20,21.14416399
Jan/21,24.17405133
Feb/21,23.13566896
Mar/21,21.64255694
Apr/21,22.07345324
May/21,13.35305766
Jun/21,13.2076978
Jul/21,9.260995279
Aug/21,6.959160349
Sep/21,12.21853305
Oct/21,12.77583319
Nov/21,14.49656663
Dec/21,25.57604492
Jan/22,23.55387963
Feb/22,21.47676093
Mar/22,20.36291169
Apr/22,19.8295572
May/22,13.4579765
Jun/22,13.28068151
Jul/22,12.71932967
Aug/22,12.69517898
Sep/22,11.99393156
Oct/22,12.32289369
Nov/22,14.22699776
Dec/22,25.45586103
Jan/23,20.68176926
Feb/23,18.4142197
Mar/23,17.35387142
Apr/23,17.86900277
May/23,11.2976282
Jun/23,11.77074266
Jul/23,11.32679131
Aug/23,10.89823034
Sep/23,10.93837518
Oct/23,11.02046477
Nov/23,10.62725267
Dec/23,21.5605357
Jan/24,20.59644439
Feb/24,18.54496672
Mar/24,18.29700174
Apr/24,17.56600264
May/24,10.29924746
Jun/24,10.57192631
Jul/24,10.90939434
Aug/24,10.96942933
Sep/24,9.993000659
Oct/24,9.480629929
Nov/24,9.894001783
Dec/24,21.96187017
Jan/25,18.64263013
Feb/25,15.65689837
Mar/25,15.1599172
Apr/25,15.60921512
May/25,9.35201607
Jun/25,10.04197038
Jul/25,10.16892482
Aug/25,9.949859766
Sep/25,11.31224014
Oct/25,10.83249943
Nov/25,9.912129996
Dec/25,22.43132785
Jan/26,19.60626577
Feb/26,19.23377298
Mar/26,18.12669375
Apr/26,18.74245302
