Year,B.C.,Alberta,Saskatchewan,Rest of Canada,East Coast Offshore
1950,0,138.5714125,2.236591219,23.04661386,0
1951,0,156.269656,2.333834315,23.82455863,0
1952,0,173.1046678,3.103276958,23.27457719,0
1953,0,198.6676461,4.278696244,27.03358082,0
1954,0.194486193,238.5373156,8.460149393,27.90876869,0
1955,0.486215482,291.9237756,16.6285695,30.242603,0
1956,0.484887025,311.1035151,23.468532,35.49373021,0
1957,20.12932097,367.6761477,32.77092351,39.96691265,0
1958,156.269656,509.7483117,58.92931646,44.53733818,0
1959,173.7734134,687.8976644,86.83808514,46.6766863,0
1960,215.1928616,878.421334,86.69780002,50.33127317,0
1961,262.9453328,1154.081069,89.26916256,40.35588503,0
1962,297.7583614,1702.143161,78.28069265,43.17593483,0
1963,289.1037258,1899.35216,84.40700773,43.9538796,0
1964,325.0682614,2124.096101,90.67387362,38.01514274,0
1965,380.3177503,2337.626796,95.39547763,35.00751473,0
1966,441.8726303,2470.849838,109.0095111,43.07869173,0
1967,601.3513085,2664.460843,109.2039973,39.48069717,0
1968,697.6554512,3009.984695,126.5555135,33.55418211,0
1969,803.9086785,3572.225149,156.0751698,31.50676325,0
1970,867.6029067,4169.200518,137.6962246,46.57944321,0
1971,917.3913721,4621.867132,157.1448439,45.02355366,0
1972,1171.971939,5061.153787,153.515232,34.71791097,0
1973,1272.134188,5399.033959,152.2826891,26.74185153,0
1974,1096.902128,5525.061012,144.114269,21.10175193,0
1975,1053.823436,5653.908115,146.156374,30.04811681,0
1976,1006.237554,5765.888588,141.1991016,13.57683669,0
1977,1032.624441,6093.835883,115.4275555,23.53282934,0
1978,927.7963834,5996.009328,108.4260526,34.03508376,0
1979,943.2580357,6439.437848,114.5523676,37.73032143,0
1980,756.520736,6019.387525,116.0819537,42.18517115,0
1981,690.4259849,6024.209826,115.8165279,40.35588503,0
1982,653.2791221,6234.546644,123.6932187,42.30074696,0
1983,644.2355141,5891.959215,116.5944727,45.41252605,0
1984,679.6176539,6382.955816,153.6122094,59.05923961,0
1985,734.9633231,7084.062334,183.8866954,50.76089636,0
1986,697.7192171,6315.4529,213.8375691,49.10776372,0
1987,827.1497785,6801.182167,230.5633817,49.69122229,0
1988,876.7727181,7851.581637,369.0960032,48.9735895,0
1989,1111.294106,8117.75645,523.2651021,48.13533275,0
1990,1024.942237,8224.626613,595.0305073,43.85663651,0
1991,1342.635433,8682.447111,626.6345136,41.62004529,0
1992,1423.337372,9587.186253,637.4324827,41.40935191,0
1993,1597.120616,10760.72657,646.6665915,39.96691265,0
1994,1697.864464,11636.88687,709.0966594,41.42555909,0
1995,1875.041386,12060.4778,721.6410189,44.34285199,0
1996,1881.749566,12776.09426,627.0559004,44.51262887,0
1997,2030.046882,12956.9619,601.9347671,26.15839295,0
1998,2069.23585,13301.10522,609.8114579,26.15839295,0
1999,2110.564166,13714.58287,633.7332597,40.93934361,0
2000,2158.620057,13793.9691,648.0030198,56.24689487,333.0204086
2001,2495.257855,13608.39341,651.8204756,34.52129925,494.4811455
2002,2736.031762,13369.27263,645.6941605,35.8827026,506.5392895
2003,2549.42226,13101.75687,688.9673385,38.4882244,420.9653646
2004,2636.039821,13171.85905,704.7348017,36.65590743,389.9461453
2005,2719.500436,13306.52193,680.0941004,35.40439298,383.7212587
2006,2860.697412,13250.47657,668.1559252,34.72892298,350.3668766
2007,2721.391138,13199.28664,569.1157764,43.76405135,406.7678725
2008,2804.480463,12408.57906,561.0749276,52.44444961,427.1894114
2009,2776.397342,11511.03898,521.8246498,46.37465932,329.654097
2010,2973.546759,10969.41025,428.0969691,40.60814335,303.5929472
2011,3538.883871,10208.09216,461.8004636,37.69050038,260.4389893
2012,3535.516437,9942.227292,463.1926168,31.54103786,197.0950088
2013,3913.219838,9737.376075,438.2395505,28.93074744,176.8073647
2014,4150.510395,9956.615361,436.8376356,24.85292549,330.5200114
2015,4369.246107,10184.61687,430.872783,21.13394611,198.5819238
2016,4570.536956,10183.18293,409.793124,22.0031427,175.3588757
2017,4659.921682,10437.38146,403.4272707,16.33811409,127.2537901
2018,4301.708259,10492.95555,398.0925922,18.24509011,72.29142304
2019,5170.733424,10106.03511,393.2702487,16.92652234,0
2020,5377.069805,9610.072465,388.3668861,20.82609167,0.00273224
2021,5750.884279,9893.507072,318.857196,20.52529486,0.005479452
2022,6282.155697,10574.41827,309.6618596,19.74628041,0.005479452
2023,6711.758777,10733.48988,311.2850609,20.3985871,0.008219178
2024,7116.306807,10743.40532,296.3624743,21.56399274,0.010928962
2025,7445.580398,11065.90162,280.9447091,20.4802713,0.01369863
2026,7871.664673,11907.92012,273.0269465,18.92729638,0
