Date,British Columbia (MMcf/d)
Jan/18,5212.750465
Feb/18,5199.015756
Mar/18,5250.036067
Apr/18,5296.790641
May/18,5053.638375
Jun/18,5031.857289
Jul/18,5317.714183
Aug/18,5157.980213
Sep/18,5175.138798
Oct/18,4702.002502
Nov/18,4874.710641
Dec/18,5422.043604
Jan/19,5062.183279
Feb/19,5271.500187
Mar/19,5334.209565
Apr/19,5204.865888
May/19,4810.879431
Jun/19,5017.495507
Jul/19,5044.264487
Aug/19,4976.715212
Sep/19,5022.48571
Oct/19,5099.056838
Nov/19,5380.467292
Dec/19,5525.48617
Jan/20,5399.972258
Feb/20,5400.514623
Mar/20,5430.10333
Apr/20,5603.224297
May/20,5564.82367
Jun/20,5409.621225
Jul/20,5177.085352
Aug/20,5162.268557
Sep/20,4867.661709
Oct/20,5274.191435
Nov/20,5442.078377
Dec/20,5468.602162
Jan/21,5547.315781
Feb/21,5572.722344
Mar/21,5586.048602
Apr/21,5698.959153
May/21,5548.316212
Jun/21,5547.934073
Jul/21,5616.426307
Aug/21,5815.558382
Sep/21,5917.784455
Oct/21,5703.485245
Nov/21,6073.511452
Dec/21,6031.338262
Jan/22,6021.918008
Feb/22,6118.154101
Mar/22,6131.745928
Apr/22,6242.860859
May/22,6171.057568
Jun/22,6112.968096
Jul/22,6258.885113
Aug/22,5983.097926
Sep/22,6186.5624
Oct/22,6493.067711
Nov/22,6633.165751
Dec/22,6644.936414
Jan/23,6639.432323
Feb/23,6508.414786
Mar/23,6719.75947
Apr/23,6823.328105
May/23,6550.42107
Jun/23,6382.904687
Jul/23,6607.063089
Aug/23,6598.803312
Sep/23,6502.144219
Oct/23,6877.35463
Nov/23,6854.960144
Dec/23,7049.08505
Jan/24,7004.632013
Feb/24,7168.544714
Mar/24,7065.424332
Apr/24,7081.725772
May/24,6812.821928
Jun/24,6993.790168
Jul/24,6577.918227
Aug/24,7032.934694
Sep/24,6859.891305
Oct/24,7207.815025
Nov/24,7514.381347
Dec/24,7654.88671
Jan/25,7549.168738
Feb/25,7542.301359
Mar/25,7500.028447
Apr/25,7269.460248
May/25,7487.368127
Jun/25,7304.331042
Jul/25,7488.12352
Aug/25,7038.118437
Sep/25,6722.813177
Oct/25,7449.021375
Nov/25,7958.065586
Dec/25,7704.334353
Jan/26,7907.855475
Feb/26,8029.882215
Mar/26,7750.090812
Apr/26,7798.830191
