Date,British Columbia (Bcf/d)
Jan/18,5.212750465
Feb/18,5.199015756
Mar/18,5.250036067
Apr/18,5.296790641
May/18,5.053638375
Jun/18,5.031857289
Jul/18,5.317714183
Aug/18,5.157980213
Sep/18,5.175138798
Oct/18,4.702002502
Nov/18,4.874710641
Dec/18,5.422043604
Jan/19,5.062183279
Feb/19,5.271500187
Mar/19,5.334209565
Apr/19,5.204865888
May/19,4.810879431
Jun/19,5.017495507
Jul/19,5.044264487
Aug/19,4.976715212
Sep/19,5.02248571
Oct/19,5.099056838
Nov/19,5.380467292
Dec/19,5.52548617
Jan/20,5.399972258
Feb/20,5.400514623
Mar/20,5.43010333
Apr/20,5.603224297
May/20,5.56482367
Jun/20,5.409621225
Jul/20,5.177085352
Aug/20,5.162268557
Sep/20,4.867661709
Oct/20,5.274191435
Nov/20,5.442078377
Dec/20,5.468602162
Jan/21,5.547315781
Feb/21,5.572722344
Mar/21,5.586048602
Apr/21,5.698959153
May/21,5.548316212
Jun/21,5.547934073
Jul/21,5.616426307
Aug/21,5.815558382
Sep/21,5.917784455
Oct/21,5.703485245
Nov/21,6.073511452
Dec/21,6.031338262
Jan/22,6.021918008
Feb/22,6.118154101
Mar/22,6.131745928
Apr/22,6.242860859
May/22,6.171057568
Jun/22,6.112968096
Jul/22,6.258885113
Aug/22,5.983097926
Sep/22,6.1865624
Oct/22,6.493067711
Nov/22,6.633165751
Dec/22,6.644936414
Jan/23,6.639432323
Feb/23,6.508414786
Mar/23,6.71975947
Apr/23,6.823328105
May/23,6.55042107
Jun/23,6.382904687
Jul/23,6.607063089
Aug/23,6.598803312
Sep/23,6.502144219
Oct/23,6.87735463
Nov/23,6.854960144
Dec/23,7.04908505
Jan/24,7.004632013
Feb/24,7.168544714
Mar/24,7.065424332
Apr/24,7.081725772
May/24,6.812821928
Jun/24,6.993790168
Jul/24,6.577918227
Aug/24,7.032934694
Sep/24,6.859891305
Oct/24,7.207815025
Nov/24,7.514381347
Dec/24,7.65488671
Jan/25,7.549168738
Feb/25,7.542301359
Mar/25,7.500028447
Apr/25,7.269460248
May/25,7.487368127
Jun/25,7.304331042
Jul/25,7.48812352
Aug/25,7.038118437
Sep/25,6.722813177
Oct/25,7.449021375
Nov/25,7.958065586
Dec/25,7.704334353
Jan/26,7.907855475
Feb/26,8.029882215
Mar/26,7.750090812
Apr/26,7.798830191
