Date,Saskatchewan (MMcf/d)
Jan/18,391.6
Feb/18,375.2
Mar/18,388.0
Apr/18,399.1
May/18,406.6
Jun/18,388.7
Jul/18,397.7
Aug/18,402.3
Sep/18,394.3
Oct/18,406.6
Nov/18,403.6
Dec/18,397.5
Jan/19,392.9
Feb/19,365.8
Mar/19,380.9
Apr/19,403.4
May/19,398.8
Jun/19,399.4
Jul/19,395.2
Aug/19,394.1
Sep/19,384.1
Oct/19,392.1
Nov/19,398.3
Dec/19,390.4
Jan/20,377.2
Feb/20,389.3
Mar/20,389.5
Apr/20,369.0
May/20,335.9
Jun/20,338.0
Jul/20,339.4
Aug/20,340.9
Sep/20,342.3
Oct/20,342.2
Nov/20,338.4
Dec/20,340.7
Jan/21,318.4
Feb/21,297.6
Mar/21,320.8
Apr/21,332.3
May/21,325.0
Jun/21,309.4
Jul/21,317.1
Aug/21,315.2
Sep/21,320.8
Oct/21,323.6
Nov/21,321.9
Dec/21,308.5
Jan/22,300.5
Feb/22,300.9
Mar/22,312.5
Apr/22,306.2
May/22,312.5
Jun/22,306.8
Jul/22,305.1
Aug/22,304.8
Sep/22,311.1
Oct/22,320.1
Nov/22,314.6
Dec/22,297.2
Jan/23,301.0
Feb/23,309.6
Mar/23,303.3
Apr/23,318.7
May/23,312.2
Jun/23,304.7
Jul/23,314.2
Aug/23,308.2
Sep/23,308.1
Oct/23,311.7
Nov/23,312.8
Dec/23,312.5
Jan/24,292.1
Feb/24,312.0
Mar/24,304.8
Apr/24,314.2
May/24,308.9
Jun/24,294.5
Jul/24,282.3
Aug/24,278.1
Sep/24,274.5
Oct/24,291.0
Nov/24,295.7
Dec/24,292.6
Jan/25,280.7
Feb/25,272.2
Mar/25,295.1
Apr/25,288.8
May/25,274.6
Jun/25,283.2
Jul/25,276.4
Aug/25,277.0
Sep/25,273.7
Oct/25,274.2
Nov/25,282.3
Dec/25,273.2
Jan/26,272.2
Feb/26,276.7
Mar/26,274.3
Apr/26,268.9
