Year,B.C.,Alberta,Saskatchewan,Rest of Canada,East Coast Offshore
1950,0,0.138571412,0.002236591,0.023046614,0
1951,0,0.156269656,0.002333834,0.023824559,0
1952,0,0.173104668,0.003103277,0.023274577,0
1953,0,0.198667646,0.004278696,0.027033581,0
1954,0.000194486,0.238537316,0.008460149,0.027908769,0
1955,0.000486215,0.291923776,0.016628569,0.030242603,0
1956,0.000484887,0.311103515,0.023468532,0.03549373,0
1957,0.020129321,0.367676148,0.032770924,0.039966913,0
1958,0.156269656,0.509748312,0.058929316,0.044537338,0
1959,0.173773413,0.687897664,0.086838085,0.046676686,0
1960,0.215192862,0.878421334,0.0866978,0.050331273,0
1961,0.262945333,1.154081069,0.089269163,0.040355885,0
1962,0.297758361,1.702143161,0.078280693,0.043175935,0
1963,0.289103726,1.89935216,0.084407008,0.04395388,0
1964,0.325068261,2.124096101,0.090673874,0.038015143,0
1965,0.38031775,2.337626796,0.095395478,0.035007515,0
1966,0.44187263,2.470849838,0.109009511,0.043078692,0
1967,0.601351309,2.664460843,0.109203997,0.039480697,0
1968,0.697655451,3.009984695,0.126555513,0.033554182,0
1969,0.803908678,3.572225149,0.15607517,0.031506763,0
1970,0.867602907,4.169200518,0.137696225,0.046579443,0
1971,0.917391372,4.621867132,0.157144844,0.045023554,0
1972,1.171971939,5.061153787,0.153515232,0.034717911,0
1973,1.272134188,5.399033959,0.152282689,0.026741852,0
1974,1.096902128,5.525061012,0.144114269,0.021101752,0
1975,1.053823436,5.653908115,0.146156374,0.030048117,0
1976,1.006237554,5.765888588,0.141199102,0.013576837,0
1977,1.032624441,6.093835883,0.115427556,0.023532829,0
1978,0.927796383,5.996009328,0.108426053,0.034035084,0
1979,0.943258036,6.439437848,0.114552368,0.037730321,0
1980,0.756520736,6.019387525,0.116081954,0.042185171,0
1981,0.690425985,6.024209826,0.115816528,0.040355885,0
1982,0.653279122,6.234546644,0.123693219,0.042300747,0
1983,0.644235514,5.891959215,0.116594473,0.045412526,0
1984,0.679617654,6.382955816,0.153612209,0.05905924,0
1985,0.734963323,7.084062334,0.183886695,0.050760896,0
1986,0.697719217,6.3154529,0.213837569,0.049107764,0
1987,0.827149779,6.801182167,0.230563382,0.049691222,0
1988,0.876772718,7.851581637,0.369096003,0.048973589,0
1989,1.111294106,8.11775645,0.523265102,0.048135333,0
1990,1.024942237,8.224626613,0.595030507,0.043856637,0
1991,1.342635433,8.682447111,0.626634514,0.041620045,0
1992,1.423337372,9.587186253,0.637432483,0.041409352,0
1993,1.597120616,10.76072657,0.646666591,0.039966913,0
1994,1.697864464,11.63688687,0.709096659,0.041425559,0
1995,1.875041386,12.0604778,0.721641019,0.044342852,0
1996,1.881749566,12.77609426,0.6270559,0.044512629,0
1997,2.030046882,12.9569619,0.601934767,0.026158393,0
1998,2.06923585,13.30110522,0.609811458,0.026158393,0
1999,2.110564166,13.71458287,0.63373326,0.040939344,0
2000,2.158620057,13.7939691,0.64800302,0.056246895,0.333020409
2001,2.495257855,13.60839341,0.651820476,0.034521299,0.494481146
2002,2.736031762,13.36927263,0.645694161,0.035882703,0.506539289
2003,2.54942226,13.10175687,0.688967338,0.038488224,0.420965365
2004,2.636039821,13.17185905,0.704734802,0.036655907,0.389946145
2005,2.719500436,13.30652193,0.6800941,0.035404393,0.383721259
2006,2.860697412,13.25047657,0.668155925,0.034728923,0.350366877
2007,2.721391138,13.19928664,0.569115776,0.043764051,0.406767873
2008,2.804480463,12.40857906,0.561074928,0.05244445,0.427189411
2009,2.776397342,11.51103898,0.52182465,0.046374659,0.329654097
2010,2.973546759,10.96941025,0.428096969,0.040608143,0.303592947
2011,3.538883871,10.20809216,0.461800464,0.0376905,0.260438989
2012,3.535516437,9.942227292,0.463192617,0.031541038,0.197095009
2013,3.913219838,9.737376075,0.43823955,0.028930747,0.176807365
2014,4.150510395,9.956615361,0.436837636,0.024852925,0.330520011
2015,4.369246107,10.18461687,0.430872783,0.021133946,0.198581924
2016,4.570536956,10.18318293,0.409793124,0.022003143,0.175358876
2017,4.659921682,10.43738146,0.403427271,0.016338114,0.12725379
2018,4.301708259,10.49295555,0.398092592,0.01824509,0.072291423
2019,5.170733424,10.10603511,0.393270249,0.016926522,0
2020,5.377069805,9.610072465,0.388366886,0.020826092,0.00000273224
2021,5.750884279,9.893507072,0.318857196,0.020525295,0.00000547945
2022,6.282155697,10.57441827,0.30966186,0.01974628,0.00000547945
2023,6.711758777,10.73348988,0.311285061,0.020398587,0.00000821918
2024,7.116306807,10.74340532,0.296362474,0.021563993,0.000010929
2025,7.445580398,11.06590162,0.280944709,0.020480271,0.0000136986
2026,7.871664673,11.90792012,0.273026946,0.018927296,0
