Date,British Columbia,Alberta
Jan-00,8993.0,152703.0
Feb-00,10040.0,156096.0
Mar-00,9756.0,153090.0
Apr-00,10791.0,147236.0
May-00,11424.0,144221.0
Jun-00,11249.0,141483.0
Jul-00,11234.0,144626.0
Aug-00,10786.0,144778.0
Sep-00,11182.0,131747.0
Oct-00,11252.0,140192.0
Nov-00,11448.0,144489.0
Dec-00,10926.0,132567.0
Jan-01,11817.0,147932.0
Feb-01,11804.0,147271.0
Mar-01,11621.0,139978.0
Apr-01,11642.0,130471.0
May-01,12527.0,151544.0
Jun-01,11091.0,139613.0
Jul-01,10867.0,114921.0
Aug-01,10776.0,119709.0
Sep-01,10596.0,121058.0
Oct-01,11052.0,138781.0
Nov-01,10748.0,128270.0
Dec-01,10418.0,115915.0
Jan-02,10186.0,129245.0
Feb-02,10536.0,149450.0
Mar-02,10481.0,134338.0
Apr-02,10822.0,132128.0
May-02,10598.0,127561.0
Jun-02,10532.0,116466.0
Jul-02,9656.0,122976.0
Aug-02,9004.0,117457.0
Sep-02,10179.0,136006.0
Oct-02,10884.0,123361.0
Nov-02,10939.0,119632.0
Dec-02,10656.0,135454.0
Jan-03,10780.0,128673.0
Feb-03,11072.0,128063.0
Mar-03,11004.0,137558.0
Apr-03,11431.0,136385.0
May-03,10393.0,130552.0
Jun-03,10808.0,128362.0
Jul-03,10786.0,135478.0
Aug-03,10683.0,132689.0
Sep-03,11101.0,115539.0
Oct-03,10733.0,138014.0
Nov-03,11592.0,135303.0
Dec-03,11128.0,137898.0
Jan-04,11596.0,135075.0
Feb-04,12254.0,142466.0
Mar-04,11868.0,139845.0
Apr-04,11944.0,130727.0
May-04,11819.0,124895.0
Jun-04,11801.0,128431.0
Jul-04,10907.0,131732.0
Aug-04,11300.0,128154.0
Sep-04,11181.0,132335.0
Oct-04,11290.0,133145.0
Nov-04,11923.0,136818.0
Dec-04,11080.0,136546.0
Jan-05,7809.0,133494.0
Feb-05,8315.0,135057.0
Mar-05,7376.0,138169.0
Apr-05,9817.0,137350.0
May-05,9942.0,129842.0
Jun-05,8635.0,130608.0
Jul-05,9167.0,129483.0
Aug-05,9793.0,133148.0
Sep-05,9742.0,137706.0
Oct-05,9944.0,134759.0
Nov-05,9296.0,131797.0
Dec-05,9397.0,137633.0
Jan-06,9042.0,139677.0
Feb-06,9053.0,144064.0
Mar-06,9118.0,140342.0
Apr-06,9345.0,142005.0
May-06,9280.0,137187.0
Jun-06,9178.0,132520.0
Jul-06,8856.0,137370.0
Aug-06,9865.0,133841.0
Sep-06,9059.0,137555.0
Oct-06,9015.0,143383.0
Nov-06,8662.0,138994.0
Dec-06,8612.0,143694.0
Jan-07,8657.0,142202.0
Feb-07,9075.0,142961.0
Mar-07,9006.0,145294.0
Apr-07,9112.0,143405.0
May-07,8094.0,142388.0
Jun-07,8785.0,136920.0
Jul-07,8484.0,139918.0
Aug-07,7961.0,137119.0
Sep-07,6865.0,131392.0
Oct-07,7004.0,140666.0
Nov-07,7068.0,145467.0
Dec-07,7210.0,142420.0
Jan-08,6969.0,139608.0
Feb-08,6535.0,139489.0
Mar-08,6768.0,140005.0
Apr-08,7598.0,134331.0
May-08,8026.0,135709.0
Jun-08,6743.0,130274.0
Jul-08,7617.0,135960.0
Aug-08,7548.0,136338.0
Sep-08,7403.0,134683.0
Oct-08,7497.0,130903.0
Nov-08,7290.0,134878.0
Dec-08,6472.0,136457.0
Jan-09,7319.0,136972.0
Feb-09,7766.0,138939.0
Mar-09,7682.0,139260.0
Apr-09,8434.0,131742.0
May-09,8206.0,122750.0
Jun-09,8028.0,125386.0
Jul-09,7942.0,128942.0
Aug-09,7797.0,122219.0
Sep-09,7231.0,116371.0
Oct-09,7296.0,121479.0
Nov-09,20101.0,124161.0
Dec-09,17809.0,125107.0
Jan-10,8530.0,128206.0
Feb-10,6328.0,128733.0
Mar-10,6813.0,130183.0
Apr-10,6626.0,123975.0
May-10,6416.0,123230.0
Jun-10,6051.0,121345.0
Jul-10,6396.0,119202.0
Aug-10,6754.0,121723.0
Sep-10,6874.0,114616.0
Oct-10,6847.0,119519.0
Nov-10,7126.0,120298.0
Dec-10,7704.0,121607.0
Jan-11,15799.0,119725.0
Feb-11,15775.0,118261.0
Mar-11,16769.0,119530.0
Apr-11,17018.0,123181.0
May-11,15985.0,115645.0
Jun-11,14212.0,115960.0
Jul-11,15792.0,122325.0
Aug-11,16500.0,117457.0
Sep-11,16447.0,117332.0
Oct-11,17504.0,115659.0
Nov-11,17671.0,119742.0
Dec-11,19499.0,125453.0
Jan-12,19046.0,119147.0
Feb-12,19441.0,120352.0
Mar-12,18798.0,122372.0
Apr-12,18928.0,123899.0
May-12,18518.0,112930.0
Jun-12,17308.0,105966.0
Jul-12,15340.0,106495.0
Aug-12,17502.0,112479.0
Sep-12,17946.0,109363.0
Oct-12,18063.0,116598.0
Nov-12,18461.0,121180.0
Dec-12,20048.0,118953.0
Jan-13,19825.0,124754.0
Feb-13,20238.0,131442.0
