Year,Conventional Oil,Condensate & Pentanes+,Bitumen,Upgraded Bitumen,Natural Gas,NGLs
1950,77963.0,1224.0,0.0,0.0,27309.0,479.0
1951,129610.0,1629.0,0.0,0.0,30405.0,912.0
1952,166249.0,1801.0,0.0,0.0,33247.0,1305.0
1953,220448.0,1966.0,0.0,0.0,38330.0,1729.0
1954,261890.0,1991.0,0.0,0.0,45850.0,2344.0
1955,353026.0,2879.0,0.0,0.0,56547.0,4285.0
1956,468061.0,3134.0,0.0,0.0,61758.0,5212.0
1957,495084.0,4781.0,0.0,0.0,76757.0,6311.0
1958,449956.0,5863.0,0.0,0.0,128247.0,6197.0
1959,501860.0,9579.0,0.0,0.0,165864.0,10089.0
1960,516832.0,14106.0,0.0,0.0,205107.0,12173.0
1961,603172.0,23137.0,0.0,0.0,257775.0,14772.0
1962,667386.0,47100.0,0.0,0.0,353560.0,18186.0
1963,705409.0,60358.0,0.0,0.0,386136.0,21253.0
1964,748549.0,69699.0,0.0,0.0,429642.0,33350.0
1965,797905.0,76494.0,0.0,0.0,474725.0,46535.0
1966,873748.0,80528.0,0.0,0.0,510802.0,55782.0
1967,958461.0,84113.0,724.0,1241.0,569083.0,63353.0
1968,1018978.0,90741.0,1100.0,14150.0,644625.0,71447.0
1969,1114394.0,105516.0,1190.0,27637.0,760619.0,80517.0
1970,1237073.0,120945.0,655.0,32826.0,870180.0,97630.0
1971,1308300.0,128522.0,259.0,42257.0,957310.0,111323.0
1972,1479332.0,166163.0,1221.0,50945.0,1075399.0,138363.0
1973,1740341.0,170002.0,1224.0,50102.0,1155459.0,153387.0
1974,1632722.0,161883.0,1259.0,45757.0,1143433.0,154483.0
1975,1378816.0,152006.0,3431.0,43205.0,1159478.0,161790.0
1976,1253320.0,133663.0,7565.0,48314.0,1170194.0,157479.0
1977,1262130.0,132732.0,8379.0,45533.0,1221114.0,163720.0
1978,1247156.0,119183.0,7810.0,56239.0,1186155.0,171522.0
1979,1391389.0,118460.0,10017.0,91169.0,1264355.0,222210.0
1980,1292817.0,106844.0,9560.0,128110.0,1161773.0,228238.0
1981,1155759.0,102294.0,12982.0,108237.0,1149867.0,228049.0
1982,1124658.0,100330.0,22085.0,103444.0,1178489.0,222012.0
1983,1168229.0,93303.0,25085.0,148943.0,1119009.0,227143.0
1984,1266767.0,97184.0,33407.0,133801.0,1215418.0,254676.0
1985,1232751.0,102872.0,52239.0,164977.0,1345634.0,252331.0
1986,1168072.0,103660.0,93272.0,184959.0,1215458.0,235845.0
1987,1210407.0,110262.0,116047.0,180545.0,1320788.0,272667.0
1988,1250725.0,114526.0,129743.0,200185.0,1526327.0,282466.0
1989,1191086.0,118957.0,128857.0,205182.0,1635175.0,288597.0
1990,1174663.0,115969.0,135443.0,208458.0,1649275.0,303895.0
1991,1163241.0,122157.0,122633.0,226216.0,1788090.0,316829.0
1992,1204119.0,134601.0,126580.0,236894.0,1957618.0,332708.0
1993,1265797.0,149517.0,132495.0,243491.0,2183772.0,365685.0
1994,1320329.0,165275.0,134650.0,261887.0,2358161.0,388021.0
1995,1349258.0,174007.0,148632.0,279248.0,2460607.0,431479.0
1996,1373860.0,185719.0,163425.0,280549.0,2564664.0,439666.0
1997,1386911.0,215905.0,238026.0,289610.0,2611771.0,439544.0
1998,1400220.0,219922.0,282127.0,308109.0,2677589.0,442802.0
1999,1320161.0,216889.0,244319.0,323557.0,2760326.0,486984.0
2000,1368148.0,206857.0,288526.0,319939.0,2848000.0,486627.0
2001,1354790.0,188485.0,309540.0,348935.0,2904586.0,454378.0
2002,1424314.0,182932.0,302747.0,441346.0,2901685.0,477987.0
2003,1443142.0,169192.0,349315.0,454569.0,2815379.0,457641.0
2004,1388746.0,187725.0,373205.0,644280.0,2834698.0,498436.0
2005,1345075.0,185685.0,419657.0,546342.0,2861030.0,496630.0
2006,1325111.0,192623.0,460276.0,656045.0,2865843.0,503383.0
2007,1371615.0,195122.0,499344.0,687095.0,2828007.0,492880.0
2008,1332043.0,186061.0,546190.0,653375.0,2711981.0,463709.0
2009,1201099.0,172777.0,588384.0,765592.0,2533631.0,452074.0
2010,1212910.0,169416.0,696960.0,797735.0,2455038.0,445964.0
2011,1252001.0,166344.0,786460.0,851139.0,2420089.0,456235.0
2012,1298799.0,167060.0,910639.0,913127.0,2363686.0,455682.0
2013,1369733.0,181621.0,1029427.0,935846.0,2383877.0,468099.0
2014,1391729.0,218740.0,1029427.0,935846.0,2484520.0,477115.0
2015,1255661.0,255703.0,1406582.0,975500.0,2535011.0,497868.0
2016,1177363.0,302110.0,1485677.0,929520.0,2561039.0,546956.0
2017,1212869.0,359786.0,1648534.0,1026867.0,2607483.0,565230.0
2018,1271591.0,440751.0,1857437.0,1056853.0,2547373.0,610554.0
2019,1296859.0,467396.0,1838283.0,1111336.0,2615299.0,638737.0
2020,1194344.0,464088.0,1718943.0,1116585.0,2566854.0,626255.0
2021,1187060.0,474592.0,1921706.0,1181298.0,2664872.0,642433.0
2022,1226097.0,498583.0,1995805.0,1167742.0,2865340.0,670940.0
2023,1223034.0,506767.0,2007410.0,1222606.0,2963626.0,674328.0
2024,1246079.0,553541.0,2088345.0,1272107.0,3030379.0,712194.0
2025,1287962.0,564290.0,2190695.0,1310081.0,3136115.0,735424.0
