,ANNUAL CANADIAN LIQUID HYDROCARBON PRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/50,1950.0,0.0,0.0,75568.0,76047.0,2843.0,2843.0,0.0,516.0,686.0,44.0,0.0,0.0,1245.0,0.0,0.0,,,,,,,,,,0.0,479.0,0.0,,,,,78433.0,1224.0,0.0,0.0,27309.0
1/1/51,1951.0,0.0,0.0,127146.0,128059.0,3415.0,3415.0,31.0,623.0,541.0,38.0,0.0,0.0,1201.0,0.0,0.0,,,,,,,,,,0.0,913.0,0.0,,,,,130165.0,1629.0,0.0,0.0,30405.0
1/1/52,1952.0,0.0,0.0,162483.0,163793.0,4636.0,4636.0,289.0,855.0,522.0,38.0,0.0,0.0,1415.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,167017.0,1806.0,0.0,0.0
1/1/53,1953.0,0.0,0.0,212011.0,213741.0,7642.0,7642.0,1793.0,868.0,818.0,38.0,0.0,0.0,1723.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,221203.0,1966.0,0.0,0.0
1/1/54,1954.0,0.0,0.0,241857.0,243978.0,14851.0,14851.0,5881.0,1013.0,1132.0,38.0,0.0,0.0,2183.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,262780.0,1991.0,0.0,0.0
1/1/55,1955.0,0.0,0.0,311921.0,315451.0,30991.0,30991.0,11353.0,1107.0,1440.0,31.0,0.0,0.0,2579.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,353965.0,2879.0,0.0,0.0
1/1/56,1956.0,403.0,403.0,395528.0,399685.0,57560.0,57560.0,15807.0,1227.0,1623.0,57.0,0.0,0.0,2906.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,469060.0,3143.0,0.0,0.0
1/1/57,1957.0,1019.0,1019.0,379230.0,384324.0,100942.0,100942.0,16675.0,1151.0,1711.0,50.0,0.0,0.0,2912.0,0.0,0.0,,,,,,,,,,0.0,,,0.0,,,,,495997.0,4781.0,0.0,0.0
1/1/58,1958.0,2095.0,2507.0,313129.0,317703.0,122252.0,122370.0,15964.0,1220.0,2132.0,44.0,0.0,0.0,3397.0,0.0,0.0,,,,,,,,,,413.0,,,117.0,,,,,450974.0,5863.0,0.0,0.0
1/1/59,1959.0,3768.0,4600.0,360467.0,367605.0,130329.0,131570.0,13844.0,1157.0,2742.0,38.0,0.0,0.0,3938.0,0.0,0.0,,,,,,,,,,833.0,,,,,,,,,502767.0,9579.0,0.0
1/1/60,1960.0,4422.0,5568.0,368091.0,376754.0,142387.0,144103.0,13008.0,1245.0,2742.0,38.0,0.0,0.0,4026.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,517788.0,14145.0
1/1/61,1961.0,5007.0,6335.0,451943.0,462895.0,153589.0,155442.0,12272.0,1409.0,3145.0,31.0,0.0,0.0,4585.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,604259.0,23137.0
