Year,US (bcf/d),Canada (bcf)
1/1/2025,18.81668994,118.4359178
1/1/2024,18.18227401,113.3805288
1/1/2023,17.78175775,112.4321507
1/1/2022,17.19204132,107.751937
1/1/2021,15.98923112,102.2955068
1/1/2020,15.40112517,100.0570575
1/1/2019,15.69179574,99.85456986
1/1/2018,15.28423952,90.43525205
1/1/2017,15.64490091,80.10363014
1/1/2016,15.36623605,77.80835342
1/1/2015,15.21006408,78.82751781
1/1/2014,14.90711743,75.33631233
1/1/2013,14.30325964,70.03351233
1/1/2012,14.18211386,69.26925479
1/1/2011,14.52053651,65.85301918
1/1/2010,14.73023051,61.3202
1/1/2009,15.20178749,59.3094137
1/1/2008,16.27188369,57.8412411
1/1/2007,16.96803976,55.33245479
1/1/2006,17.19505728,53.17718904
1/1/2005,17.16618146,51.85505479
1/1/2004,17.00818666,53.47257808
1/1/2003,16.89227273,54.72427397
1/1/2002,17.41011226,54.47884932
1/1/2001,17.42751878,56.3569726
1/1/2000,17.08800062,55.33564658
