Date,Alberta
1/1/2018,10.8134
2/1/2018,10.7603
3/1/2018,10.8289
4/1/2018,10.675
5/1/2018,10.2557
6/1/2018,10.1702
7/1/2018,10.3236
8/1/2018,10.4899
9/1/2018,10.3374
10/1/2018,10.4093
11/1/2018,10.5807
12/1/2018,10.8091
1/1/2019,10.5416
2/1/2019,10.0659
3/1/2019,10.5078
4/1/2019,10.4493
5/1/2019,10.1764
6/1/2019,9.8281
7/1/2019,9.9414
8/1/2019,9.9037
9/1/2019,9.6982
10/1/2019,10.0163
11/1/2019,10.2666
12/1/2019,10.4003
1/1/2020,9.9006
2/1/2020,10.1785
3/1/2020,10.0014
4/1/2020,9.7592
5/1/2020,9.545
6/1/2020,9.4584
7/1/2020,9.3934
8/1/2020,9.4181
9/1/2020,9.2925
10/1/2020,9.7108
11/1/2020,9.8844
12/1/2020,9.9437
1/1/2021,9.8885
2/1/2021,9.5834
3/1/2021,10.0955
4/1/2021,10.1499
5/1/2021,9.968
6/1/2021,9.8675
7/1/2021,10.0777
8/1/2021,10.2141
9/1/2021,10.0226
10/1/2021,10.2496
11/1/2021,10.4305
12/1/2021,10.1251
1/1/2022,10.2235
2/1/2022,10.4844
3/1/2022,10.7038
4/1/2022,10.9633
5/1/2022,10.6654
6/1/2022,10.5328
7/1/2022,10.9173
8/1/2022,10.7831
9/1/2022,10.8694
10/1/2022,10.9341
11/1/2022,10.9885
12/1/2022,10.716
1/1/2023,11.0733
2/1/2023,11.1208
3/1/2023,11.0647
4/1/2023,11.0918
5/1/2023,9.697
6/1/2023,10.3419
7/1/2023,11.081
8/1/2023,11.1542
9/1/2023,10.8551
10/1/2023,10.8995
11/1/2023,11.3616
12/1/2023,11.4071
1/1/2024,10.7748
2/1/2024,11.1518
3/1/2024,11.1091
4/1/2024,11.1045
5/1/2024,10.8269
6/1/2024,10.8179
7/1/2024,10.7937
8/1/2024,10.9016
9/1/2024,10.3142
10/1/2024,10.9983
11/1/2024,11.264
12/1/2024,11.472
1/1/2025,11.495
2/1/2025,11.1964
3/1/2025,11.5816
4/1/2025,11.5195
5/1/2025,11.245
6/1/2025,10.8703
7/1/2025,11.1562
8/1/2025,11.08
9/1/2025,11.0878
10/1/2025,11.3671
11/1/2025,11.7931
12/1/2025,11.7141
