Date,Rest of Canada
1/1/2018,22.1383
2/1/2018,20.9161
3/1/2018,18.4655
4/1/2018,18.3943
5/1/2018,9.9316
6/1/2018,9.5296
7/1/2018,9.0551
8/1/2018,9.3807
9/1/2018,9.3812
10/1/2018,10.0479
11/1/2018,18.6632
12/1/2018,26.0243
1/1/2019,27.2361
2/1/2019,25.2091
3/1/2019,25.0397
4/1/2019,24.1168
5/1/2019,15.817
6/1/2019,15.5634
7/1/2019,15.1082
8/1/2019,14.9789
9/1/2019,15.113
10/1/2019,15.4253
11/1/2019,20.5175
12/1/2019,21.7932
1/1/2020,26.6326
2/1/2020,23.0972
3/1/2020,21.9185
4/1/2020,20.7696
5/1/2020,10.6821
6/1/2020,11.5384
7/1/2020,14.2835
8/1/2020,7.4718
9/1/2020,7.315
10/1/2020,12.5448
11/1/2020,20.1089
12/1/2020,21.1442
1/1/2021,24.1741
2/1/2021,23.1357
3/1/2021,21.6426
4/1/2021,22.0735
5/1/2021,13.3531
6/1/2021,13.2077
7/1/2021,9.261
8/1/2021,6.9592
9/1/2021,12.2185
10/1/2021,12.7758
11/1/2021,14.4966
12/1/2021,25.576
1/1/2022,23.5539
2/1/2022,21.4768
3/1/2022,20.3629
4/1/2022,19.8296
5/1/2022,13.458
6/1/2022,13.2807
7/1/2022,12.7193
8/1/2022,12.6952
9/1/2022,11.9939
10/1/2022,12.3229
11/1/2022,14.227
12/1/2022,25.4559
1/1/2023,20.6818
2/1/2023,18.4142
3/1/2023,17.3539
4/1/2023,17.869
5/1/2023,11.2976
6/1/2023,11.7707
7/1/2023,11.3268
8/1/2023,10.8982
9/1/2023,10.9384
10/1/2023,11.0205
11/1/2023,10.6273
12/1/2023,21.5605
1/1/2024,20.5964
2/1/2024,18.545
3/1/2024,18.297
4/1/2024,17.566
5/1/2024,10.2992
6/1/2024,10.5719
7/1/2024,10.9094
8/1/2024,10.9694
9/1/2024,9.993
10/1/2024,9.4806
11/1/2024,9.894
12/1/2024,21.9619
1/1/2025,18.6426
2/1/2025,15.6569
3/1/2025,15.1599
4/1/2025,15.6092
5/1/2025,9.352
6/1/2025,10.042
7/1/2025,10.1689
8/1/2025,9.9499
9/1/2025,11.3122
10/1/2025,10.8325
11/1/2025,9.9121
12/1/2025,22.4313
