Date,Saskatchewan
1/1/2018,391.6318209
2/1/2018,375.2193181
3/1/2018,387.9964573
4/1/2018,399.0986054
5/1/2018,406.6192656
6/1/2018,388.7310334
7/1/2018,397.654686
8/1/2018,402.326593
9/1/2018,394.3247642
10/1/2018,406.5760906
11/1/2018,403.5748613
12/1/2018,397.5079591
1/1/2019,392.8751262
2/1/2019,365.7820952
3/1/2019,380.8853298
4/1/2019,403.407705
5/1/2019,398.8281593
6/1/2019,399.4363316
7/1/2019,395.2177439
8/1/2019,394.1475945
9/1/2019,384.1309406
10/1/2019,392.0979749
11/1/2019,398.3228591
12/1/2019,390.3974012
1/1/2020,377.1900452
2/1/2020,389.3116883
3/1/2020,389.518293
4/1/2020,369.0123644
5/1/2020,335.9255017
6/1/2020,337.962503
7/1/2020,339.3899877
8/1/2020,340.9178611
9/1/2020,342.2821971
10/1/2020,342.1895321
11/1/2020,338.3840428
12/1/2020,340.6754428
1/1/2021,318.3506287
2/1/2021,297.5591397
3/1/2021,320.8053421
4/1/2021,332.273658
5/1/2021,325.0140569
6/1/2021,309.3739585
7/1/2021,317.0944506
8/1/2021,315.1856341
9/1/2021,320.8386404
10/1/2021,323.5691161
11/1/2021,321.9464626
12/1/2021,308.5361039
1/1/2022,300.4729605
2/1/2022,300.8907033
3/1/2022,312.4636682
4/1/2022,306.1815096
5/1/2022,312.4803003
6/1/2022,306.8019889
7/1/2022,305.1338174
8/1/2022,304.7774807
9/1/2022,311.1380455
10/1/2022,320.1141992
11/1/2022,314.5979443
12/1/2022,297.2371087
1/1/2023,300.9838845
2/1/2023,309.6370194
3/1/2023,303.3053134
4/1/2023,318.6585463
5/1/2023,312.1887831
6/1/2023,304.6645078
7/1/2023,314.2000122
8/1/2023,308.1621099
9/1/2023,308.0689626
10/1/2023,311.7161357
11/1/2023,312.7840636
12/1/2023,312.5069572
1/1/2024,292.122401
2/1/2024,312.0383755
3/1/2024,304.7655192
4/1/2024,314.1947682
5/1/2024,308.9251352
6/1/2024,294.4751574
7/1/2024,282.3209769
8/1/2024,278.0791118
9/1/2024,274.4717342
10/1/2024,291.0169369
11/1/2024,295.7029318
12/1/2024,292.645742
1/1/2025,280.6767928
2/1/2025,272.2734361
3/1/2025,295.0921394
4/1/2025,288.3894929
5/1/2025,274.6826351
6/1/2025,283.1566784
7/1/2025,276.7220021
8/1/2025,276.9749009
9/1/2025,273.6958702
10/1/2025,274.1987098
11/1/2025,283.4931097
12/1/2025,274.600386
1/1/2026,272.1824
2/1/2026,276.7056
3/1/2026,274.3041
4/1/2026,268.9158
